dataset,permutation_mode,run_id,predicted_algo,ari_cal,ari_sil,stable_prediction
anneal,none,0,kmedians,0.05782897764412856,0.09267018734099929,True
banknote-authentication,none,0,kmedians,0.18367304579333504,0.12021309870799224,True
BreastTissue,none,0,dbscan,0.268213715336592,0.268213715336592,True
Cervical_Cancer_Risk_Factors,none,0,ward,0.10206023372173272,0.16175316325642297,True
chatfield_4,none,0,dbscan,0.4883780106806862,0.4883780106806862,True
diabetes,none,0,gaussian,0.012616535428901917,0.012616535428901917,True
Ecoli,none,0,dbscan,0.5010894136524796,0.5010894136524796,True
Glass,none,0,dbscan,0.24529364187700725,0.24529364187700725,True
Haberman,none,0,gaussian,0.10399787130992173,0.10399787130992173,True
Iris,none,0,spectral_clustering,0.5681159420289855,0.5681159420289855,True
Parkinsons,none,0,gaussian,0.05135036104397965,0.12184138103577684,True
seeds,none,0,gaussian,0.45397186216883745,0.45397186216883745,True
steel-plates-fault,none,0,agglomerative,0.17513423697159766,0.17513423697159766,True
thyroid-new,none,0,gaussian,0.8924588948005694,0.427686610929071,True
tic-tac-toe,none,0,kmedians,0.11700941535263787,-3.821654898382317e-05,True
Transfusion,none,0,gaussian,0.01044229687583222,0.01044229687583222,True
Vehicle,none,0,spectral_clustering,0.1096799656043948,0.08690505725752318,True
VertebralColumn,none,0,dbscan,0.3668643110201198,0.3668643110201198,True
waveform-5000,none,0,ward,0.21093383608910157,0.21093383608910157,True
WineQualityRed,none,0,spectral_clustering,0.06106003288598606,-0.0029351829466449635,True
anneal,row,0,kmedians,0.11514812038501775,0.028450506414623267,True
banknote-authentication,row,0,kmedians,0.18367304579333504,0.11947546927928492,True
BreastTissue,row,0,dbscan,0.268213715336592,0.268213715336592,True
Cervical_Cancer_Risk_Factors,row,0,birch,0.10299098501027848,0.16792451134845437,False
chatfield_4,row,0,dbscan,0.4883780106806862,0.4883780106806862,True
diabetes,row,0,gaussian,0.07210622557115251,0.07210622557115251,True
Ecoli,row,0,dbscan,0.5010894136524796,0.5010894136524796,True
Glass,row,0,dbscan,0.24529364187700725,0.24529364187700725,True
Haberman,row,0,gaussian,0.10399787130992173,0.10399787130992173,True
Iris,row,0,spectral_clustering,0.5681159420289855,0.5681159420289855,True
Parkinsons,row,0,gaussian,0.05135036104397965,0.12184138103577684,True
seeds,row,0,gaussian,0.45397186216883745,0.45397186216883745,True
steel-plates-fault,row,0,birch,0.13859824370628573,5.4714600375259224e-05,False
thyroid-new,row,0,gaussian,0.197290141118488,0.427686610929071,True
tic-tac-toe,row,0,kmedians,0.0004123870352198478,0.008861901828658094,True
Transfusion,row,0,gaussian,0.019327467949960608,0.019327467949960608,True
Vehicle,row,0,spectral_clustering,0.10856510836798841,0.08690505725752318,True
VertebralColumn,row,0,dbscan,0.3668643110201198,0.3668643110201198,True
waveform-5000,row,0,ward,0.21093383608910157,0.21093383608910157,True
WineQualityRed,row,0,spectral_clustering,0.06106003288598606,-0.0029351829466449635,True
anneal,row,1,kmedians,0.09472713162430017,0.08357399113227987,True
banknote-authentication,row,1,kmedians,0.18367304579333504,0.11980300809838904,True
BreastTissue,row,1,dbscan,0.268213715336592,0.268213715336592,True
Cervical_Cancer_Risk_Factors,row,1,birch,0.10299098501027848,0.16792451134845437,False
chatfield_4,row,1,dbscan,0.4883780106806862,0.4883780106806862,True
diabetes,row,1,gaussian,0.07210622557115251,0.07210622557115251,True
Ecoli,row,1,dbscan,0.5010894136524796,0.5010894136524796,True
Glass,row,1,dbscan,0.24529364187700725,0.24529364187700725,True
Haberman,row,1,gaussian,0.10399787130992173,0.10399787130992173,True
Iris,row,1,spectral_clustering,0.5681159420289855,0.5681159420289855,True
Parkinsons,row,1,gaussian,0.05135036104397965,0.12184138103577684,True
seeds,row,1,gaussian,0.45397186216883745,0.45397186216883745,True
steel-plates-fault,row,1,kmedians,0.145242472896479,0.145242472896479,False
thyroid-new,row,1,dbscan,0.6792623354229049,0.6792623354229049,False
tic-tac-toe,row,1,ward,-0.012814511634352262,0.0025470420764428085,False
Transfusion,row,1,spectral_clustering,-0.02149899842678904,-0.026854671217118008,False
Vehicle,row,1,spectral_clustering,0.1096799656043948,0.08690505725752318,True
VertebralColumn,row,1,dbscan,0.3668643110201198,0.3668643110201198,True
waveform-5000,row,1,kmedians,0.3429413948107458,0.3429413948107458,False
WineQualityRed,row,1,spectral_clustering,-0.0029351829466449635,-0.0029351829466449635,True
anneal,row,2,kmedians,0.10388055891026977,0.042325668837571925,True
banknote-authentication,row,2,kmedians,0.18367304579333504,0.11956441665182213,True
BreastTissue,row,2,dbscan,0.268213715336592,0.268213715336592,True
Cervical_Cancer_Risk_Factors,row,2,kmedians,0.08542935174714136,0.08542935174714136,False
chatfield_4,row,2,dbscan,0.4883780106806862,0.4883780106806862,True
diabetes,row,2,gaussian,0.07068177411815221,0.07068177411815221,True
Ecoli,row,2,dbscan,0.5010894136524796,0.5010894136524796,True
Glass,row,2,dbscan,0.24529364187700725,0.24529364187700725,True
Haberman,row,2,gaussian,0.10399787130992173,0.10399787130992173,True
Iris,row,2,spectral_clustering,0.5681159420289855,0.5681159420289855,True
Parkinsons,row,2,gaussian,0.05135036104397965,0.12184138103577684,True
seeds,row,2,gaussian,0.45397186216883745,0.45397186216883745,True
steel-plates-fault,row,2,agglomerative,0.17513423697159766,0.17513423697159766,True
thyroid-new,row,2,dbscan,0.6792623354229049,0.6792623354229049,False
tic-tac-toe,row,2,kmedians,0.09586734405193671,0.09586734405193671,True
Transfusion,row,2,gaussian,0.012535045925430276,0.013563158719914991,True
Vehicle,row,2,spectral_clustering,0.1096799656043948,0.08690505725752318,True
VertebralColumn,row,2,dbscan,0.3668643110201198,0.3668643110201198,True
waveform-5000,row,2,kmedians,0.3429413948107458,0.3429413948107458,False
WineQualityRed,row,2,spectral_clustering,0.06106003288598606,-0.0029351829466449635,True
anneal,row,3,kmedians,0.10388055891026977,0.09127803920857908,True
banknote-authentication,row,3,gaussian,0.023133958521983432,0.023133958521983432,False
BreastTissue,row,3,dbscan,0.268213715336592,0.268213715336592,True
Cervical_Cancer_Risk_Factors,row,3,kmedians,0.08542935174714136,0.08542935174714136,False
chatfield_4,row,3,dbscan,0.4883780106806862,0.4883780106806862,True
diabetes,row,3,gaussian,0.012616535428901917,0.012616535428901917,True
Ecoli,row,3,dbscan,0.5010894136524796,0.5010894136524796,True
Glass,row,3,dbscan,0.24529364187700725,0.24529364187700725,True
Haberman,row,3,gaussian,0.10399787130992173,0.10399787130992173,True
Iris,row,3,spectral_clustering,0.5681159420289855,0.5681159420289855,True
Parkinsons,row,3,gaussian,0.05135036104397965,0.12184138103577684,True
seeds,row,3,gaussian,0.45397186216883745,0.45397186216883745,True
steel-plates-fault,row,3,kmedians,0.145242472896479,0.145242472896479,False
thyroid-new,row,3,dbscan,0.6792623354229049,0.6792623354229049,False
tic-tac-toe,row,3,kmedians,0.11700941535263787,0.008320877648240355,True
Transfusion,row,3,gaussian,0.005762865363760484,0.005762865363760484,True
Vehicle,row,3,gaussian,0.08776256054027652,0.08776256054027652,False
VertebralColumn,row,3,dbscan,0.3668643110201198,0.3668643110201198,True
waveform-5000,row,3,ward,0.21093383608910157,0.21093383608910157,True
WineQualityRed,row,3,spectral_clustering,0.061689244453558036,-0.0029351829466449635,True
anneal,row,4,kmedians,0.1391860262177842,0.03298579094532444,True
banknote-authentication,row,4,kmedians,0.18367304579333504,0.11978672039208212,True
BreastTissue,row,4,dbscan,0.268213715336592,0.268213715336592,True
Cervical_Cancer_Risk_Factors,row,4,kmedians,0.08542935174714136,0.08542935174714136,False
chatfield_4,row,4,dbscan,0.4883780106806862,0.4883780106806862,True
diabetes,row,4,gaussian,0.07159515810611503,0.07159515810611503,True
Ecoli,row,4,dbscan,0.5010894136524796,0.5010894136524796,True
Glass,row,4,dbscan,0.24529364187700725,0.24529364187700725,True
Haberman,row,4,gaussian,0.10399787130992173,0.10399787130992173,True
Iris,row,4,spectral_clustering,0.5681159420289855,0.5681159420289855,True
Parkinsons,row,4,gaussian,0.05135036104397965,0.12184138103577684,True
seeds,row,4,gaussian,0.45397186216883745,0.45397186216883745,True
steel-plates-fault,row,4,birch,0.19946372410168434,5.4714600375259224e-05,False
thyroid-new,row,4,gaussian,0.42410869199445284,0.427686610929071,True
tic-tac-toe,row,4,kmedians,0.01161296776840545,0.01161296776840545,True
