dataset,permutation_mode,run_id,predicted_algo,ari_cal,ari_sil,stable_prediction
BreastTissue,none,0,dbscan,0.268213715336592,0.268213715336592,True
Ecoli,none,0,dbscan,0.5010894136524796,0.5010894136524796,True
Glass,none,0,dbscan,0.24529364187700725,0.24529364187700725,True
Haberman,none,0,gaussian,0.10399787130992173,0.10399787130992173,True
Iris,none,0,spectral_clustering,0.5681159420289855,0.5681159420289855,True
Parkinsons,none,0,gaussian,0.05135036104397965,0.12184138103577684,True
Transfusion,none,0,gaussian,0.01044229687583222,0.01044229687583222,True
Vehicle,none,0,spectral_clustering,0.1096799656043948,0.08690505725752318,True
VertebralColumn,none,0,dbscan,0.3668643110201198,0.3668643110201198,True
WineQualityRed,none,0,spectral_clustering,0.06106003288598606,-0.0029351829466449635,True
BreastTissue,row,0,dbscan,0.268213715336592,0.268213715336592,True
Ecoli,row,0,dbscan,0.5010894136524796,0.5010894136524796,True
Glass,row,0,dbscan,0.24529364187700725,0.24529364187700725,True
Haberman,row,0,gaussian,0.10399787130992173,0.10399787130992173,True
Iris,row,0,spectral_clustering,0.5681159420289855,0.5681159420289855,True
Parkinsons,row,0,gaussian,0.05135036104397965,0.12184138103577684,True
Transfusion,row,0,gaussian,0.019327467949960608,0.019327467949960608,True
Vehicle,row,0,spectral_clustering,0.10856510836798841,0.08690505725752318,True
VertebralColumn,row,0,dbscan,0.3668643110201198,0.3668643110201198,True
WineQualityRed,row,0,spectral_clustering,0.06106003288598606,-0.0029351829466449635,True
BreastTissue,row,1,dbscan,0.268213715336592,0.268213715336592,True
Ecoli,row,1,dbscan,0.5010894136524796,0.5010894136524796,True
Glass,row,1,dbscan,0.24529364187700725,0.24529364187700725,True
Haberman,row,1,gaussian,0.10399787130992173,0.10399787130992173,True
Iris,row,1,spectral_clustering,0.5681159420289855,0.5681159420289855,True
Parkinsons,row,1,gaussian,0.05135036104397965,0.12184138103577684,True
Transfusion,row,1,spectral_clustering,-0.02149899842678904,-0.026854671217118008,False
Vehicle,row,1,spectral_clustering,0.1096799656043948,0.08690505725752318,True
VertebralColumn,row,1,dbscan,0.3668643110201198,0.3668643110201198,True
WineQualityRed,row,1,spectral_clustering,-0.0029351829466449635,-0.0029351829466449635,True
BreastTissue,row,2,dbscan,0.268213715336592,0.268213715336592,True
Ecoli,row,2,dbscan,0.5010894136524796,0.5010894136524796,True
Glass,row,2,dbscan,0.24529364187700725,0.24529364187700725,True
Haberman,row,2,gaussian,0.10399787130992173,0.10399787130992173,True
Iris,row,2,spectral_clustering,0.5681159420289855,0.5681159420289855,True
Parkinsons,row,2,gaussian,0.05135036104397965,0.12184138103577684,True
Transfusion,row,2,gaussian,0.012535045925430276,0.013563158719914991,True
Vehicle,row,2,spectral_clustering,0.1096799656043948,0.08690505725752318,True
VertebralColumn,row,2,dbscan,0.3668643110201198,0.3668643110201198,True
WineQualityRed,row,2,spectral_clustering,0.06106003288598606,-0.0029351829466449635,True
BreastTissue,row,3,dbscan,0.268213715336592,0.268213715336592,True
Ecoli,row,3,dbscan,0.5010894136524796,0.5010894136524796,True
Glass,row,3,dbscan,0.24529364187700725,0.24529364187700725,True
Haberman,row,3,gaussian,0.10399787130992173,0.10399787130992173,True
Iris,row,3,spectral_clustering,0.5681159420289855,0.5681159420289855,True
Parkinsons,row,3,gaussian,0.05135036104397965,0.12184138103577684,True
Transfusion,row,3,gaussian,0.005762865363760484,0.005762865363760484,True
Vehicle,row,3,gaussian,0.08776256054027652,0.08776256054027652,False
VertebralColumn,row,3,dbscan,0.3668643110201198,0.3668643110201198,True
WineQualityRed,row,3,spectral_clustering,0.061689244453558036,-0.0029351829466449635,True
BreastTissue,row,4,dbscan,0.268213715336592,0.268213715336592,True
Ecoli,row,4,dbscan,0.5010894136524796,0.5010894136524796,True
Glass,row,4,dbscan,0.24529364187700725,0.24529364187700725,True
Haberman,row,4,gaussian,0.10399787130992173,0.10399787130992173,True
Iris,row,4,spectral_clustering,0.5681159420289855,0.5681159420289855,True
Parkinsons,row,4,gaussian,0.05135036104397965,0.12184138103577684,True
Transfusion,row,4,gaussian,-0.02911387807989949,-0.02911387807989949,True
Vehicle,row,4,gaussian,0.08776256054027652,0.08776256054027652,False
VertebralColumn,row,4,gaussian,0.04902833726416902,0.04902833726416902,False
WineQualityRed,row,4,spectral_clustering,0.061143485382584656,-0.0029351829466449635,True
BreastTissue,row,5,dbscan,0.268213715336592,0.268213715336592,True
Ecoli,row,5,dbscan,0.5010894136524796,0.5010894136524796,True
Glass,row,5,dbscan,0.24529364187700725,0.24529364187700725,True
Haberman,row,5,gaussian,0.10399787130992173,0.10399787130992173,True
Iris,row,5,spectral_clustering,0.5681159420289855,0.5681159420289855,True
Parkinsons,row,5,gaussian,0.05135036104397965,0.12184138103577684,True
Transfusion,row,5,gaussian,0.011331038526626626,0.011331038526626626,True
Vehicle,row,5,spectral_clustering,0.1096799656043948,0.08690505725752318,True
VertebralColumn,row,5,dbscan,0.3668643110201198,0.3668643110201198,True
WineQualityRed,row,5,spectral_clustering,0.061036518093532,-0.0029351829466449635,True
BreastTissue,row,6,dbscan,0.268213715336592,0.268213715336592,True
Ecoli,row,6,dbscan,0.49319935169270396,0.49319935169270396,True
Glass,row,6,dbscan,0.24529364187700725,0.24529364187700725,True
Haberman,row,6,gaussian,0.10399787130992173,0.10399787130992173,True
Iris,row,6,spectral_clustering,0.5681159420289855,0.5681159420289855,True
Parkinsons,row,6,gaussian,0.05135036104397965,0.12184138103577684,True
Transfusion,row,6,spectral_clustering,-0.02149899842678904,-0.020358818949656916,False
Vehicle,row,6,gaussian,0.08776256054027652,0.08776256054027652,False
