,NO_ATT/CAL/ARI,NO_ATT/SIL/ARI
BreastTissue,0.268213715,0.268213715
Ecoli,0.673765377,0.037978121
Glass,0.245293642,0.245293642
Haberman,0.027390646,0.034398202
Iris,0.568115942,0.568115942
Parkinsons,0.051350361,0.121841381
Transfusion,0.019258857,0.019258857
Vehicle,0.087762561,0.089592303
VertebralColumn,0.049028337,0.049028337
WineQualityRed,0.071563614,0.088354201
anneal,0,0
banknote-authentication,0.023133959,0.023133959
Cervical_Cancer_Risk_Factors,0,0
chatfield_4,0.488378011,0.488378011
diabetes,0.077501446,0.077501446
seeds,0.453971862,0.453971862
steel-plates-fault,0.135180255,0.135180255
thyroid-new,0.343866782,0.373424832
tic-tac-toe,0,0
waveform-5000,0.342941395,0.342941395
Median,0.082632004,0.088973252
Average,0.196335838,0.170830323
