,NO_CNN/CAL/ARI,NO_CNN/SIL/ARI
BreastTissue,0.268213715,0.268213715
Ecoli,0.673765377,0.037978121
Glass,0.245293642,0.245293642
Haberman,0.103997871,0.103997871
Iris,0.568115942,0.568115942
Parkinsons,0.051350361,0.121841381
Transfusion,0.014773986,0.014773986
Vehicle,0.109679966,0.086905057
VertebralColumn,0.136070402,0.363384964
WineQualityRed,0.061060033,-0.002935183
anneal,0,0
banknote-authentication,0.438615436,0.438615436
Cervical_Cancer_Risk_Factors,0.102990985,0.167924511
chatfield_4,0.488378011,0.488378011
diabetes,0.012113307,-0.004872104
seeds,0.502677767,0.502677767
steel-plates-fault,0.13168563,0.13168563
thyroid-new,0.732354562,0.732354562
tic-tac-toe,-0.018301842,0.005335989
waveform-5000,0.342941395,0.342941395
Median,0.133878016,0.149805071
Mean,0.248288827,0.230630535
