,NO_RES/CAL/ARI,NO_RES/SIL/ARI
BreastTissue,0.331095898,0.226834494
Ecoli,0.375966403,0.375966403
Glass,0.11623767,0.161406
Haberman,0.103997871,0.103997871
Iris,0.568115942,0.568115942
Parkinsons,0.051350361,0.121841381
Transfusion,-0.035619239,-0.026854671
Vehicle,0.086905057,0.086905057
VertebralColumn,0.049028337,0.049028337
WineQualityRed,0.071563614,0.088354201
anneal,0.085586474,0.124709579
banknote-authentication,0.023133959,0.023133959
Cervical_Cancer_Risk_Factors,0.085429352,0.085429352
chatfield_4,0.539564958,0.539564958
diabetes,0.012113307,-0.004872104
seeds,0.757170366,0.502677767
steel-plates-fault,0.135180255,0.135180255
thyroid-new,0.343866782,0.373424832
tic-tac-toe,0,0
waveform-5000,0.314381636,0.314381636
Median,0.095451464,0.12327548
Average,0.20075345,0.192461262
