,RESNET/CAL/ARI
BreastTissue,0.268213715
Ecoli,0.501089414
Glass,0.245293642
Haberman,0.103997871
Iris,0.568115942
Parkinsons,0.051350361
Transfusion,0.019258857
Vehicle,0.109679966
VertebralColumn,0.366864311
WineQualityRed,0.061060033
anneal,0.085586474
banknote-authentication,0.183673046
Cervical_Cancer_Risk_Factors,0.102060234
chatfield_4,0.488378011
diabetes,0.077501446
seeds,0.453971862
steel-plates-fault,0.175134237
thyroid-new,0.842720414
tic-tac-toe,0.124230175
waveform-5000,0.210933836
Median,0.179403642
Mean,0.251955692
