Datasets,ClustRecNet (CH),ClustRecNet (Sil),Baseline CNN,AutoCluster (CH),AutoCluster (SIL),AutoCluster (DB),AML4C,ML2DAC
BreastTissue,0.268213715,0.268213715,0.268213715,0.239760399,0.239760399,0.239760399,0.209922679,0.209922679
Ecoli,0.501089414,0.501089414,0.501089414,0.501089414,0.501089414,0.501089414,0.153521195,0.386324914
Glass,0.245293642,0.245293642,0.245293642,0.139918222,0.139918222,0.139918222,0.099425916,0.14719309
Haberman,0.103997871,0.103997871,0.027390646,0.155577899,0.062075015,0.062075015,0.032283572,0.032283572
Iris,0.568115942,0.568115942,0.568115942,0.558371444,0.54376206,0.54376206,0.568115942,0.568115942
Parkinsons,0.051350361,0.121841381,0.051350361,0.0,0.0,0.0,0.047271342,0.047271342
Transfusion,0.019258857,0.019258857,0.013119902,0.017401195,0.030390971,0.009531529,0.019630507,0.034432787
Vehicle,0.109679966,0.086905057,0.087762561,0.01250097,0.011936691,0.008836946,0.137953976,0.133333689
VertebralColumn,0.366864311,0.366864311,0.136070402,0.366864311,0.096706183,0.336901339,0.121065103,0.288482959
WineQualityRed,0.061060033,-0.002935183,0.015699505,0.0,0.0,0.0,0.050525146,0.050525146
anneal,0.085586474,0.124709579,0.085586474,0.107635643,0.022358236,0.027302371,0.027302371,0.107635643
banknote-authentication,0.183673046,0.120251213,0.023133959,0.08698575,0.04332047,0.026324895,0.026324895,0.096160011
Cervical_Cancer_Risk_Factors,0.102060234,0.161753163,0.085429352,0.094235254,0.0,0.034851485,0.001009428,0.102375576
chatfield_4,0.488378011,0.488378011,0.488378011,0.139195081,0.184766904,0.209524774,0.209524774,0.394210048
diabetes,0.077501446,0.077501446,0.077501446,0.071342886,0.0,0.052491255,0.0,0.158931672
seeds,0.453971862,0.453971862,0.453971862,0.075389714,0.379618577,0.379618577,0.412488951,0.393099107
steel-plates-fault,0.175134237,0.175134237,0.145242473,0.192865446,0.104762613,0.104762613,0.104762613,0.157309927
thyroid-new,0.842720414,0.427686611,0.585909785,0.12776539,0.602979834,0.602979834,0.602979834,0.12776539
tic-tac-toe,0.124230175,0.012490424,0.0,0.017266808,0.0,0.0,0.0,0.017266808
waveform-5000,0.210933836,0.210933836,0.342941395,0.043459388,0.0,0.0,0.0,0.043459388
Median,0.1794036415,0.1684437,0.1119164815,0.1009354485,0.0526977425,0.057283135,0.074975531,0.1305495395
Mean,0.25195569235,0.22657276945,0.21011004235000003,0.1473812607,0.14817227945,0.16398653640000002,0.14120541220000002,0.17480498449999998
